,Average ICSEA value,Boys,Completed senior secondary school,Full-time equivalent enrolments,Full-time equivalent non-teaching staff,Full-time equivalent teaching staff,Girls,Indigenous students,Location,Name,Non-teaching staff,SMCLID,School ICSEA value,School sector,School type,School-based apprenticeships and traineeships,Senior secondary certificate awarded,Teaching staff,Total enrolments,VET enrolments,Year,Year 3 | Grammar,Year 3 | Numeracy,Year 3 | Reading,Year 3 | Spelling,Year 3 | Writing,Year 5 | Grammar,Year 5 | Numeracy,Year 5 | Reading,Year 5 | Spelling,Year 5 | Writing,Year 7 | Grammar,Year 7 | Numeracy,Year 7 | Reading,Year 7 | Spelling,Year 7 | Writing,Year 9 | Grammar,Year 9 | Numeracy,Year 9 | Reading,Year 9 | Spelling,Year 9 | Writing,Year range
1076,1000,102,,216,5.9,12.2,114,-,Metropolitan,"Athelstone School, Athelstone, SA",8,90591,1058,Government,Primary,,,13,216,,2009,438,411,452,424,437,521,483,514,502,501,542,537,541,548,554,,,,,,3-7
1077,1000,109,,225,7,13.1,116,-,Metropolitan,"Athelstone School, Athelstone, SA",9,90591,1058,Government,Primary,,,14,225,,2008,414,411,409,428,435,509,463,487,494,517,566,552,552,581,586,,,,,,-
1078,1000,5,,7,1.5,2,2,-,Provincial,"Tantanoola Primary School, Tantanoola, SA",3,90596,956,Government,Primary,,,2,7,,2014,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,R-7
1079,1000,20,,29,1.9,3.4,9,-,Provincial,"Tantanoola Primary School, Tantanoola, SA",4,90596,949,Government,Primary,,,4,29,,2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,R-7
1080,1000,22,,36,2.6,4.2,14,0%,Provincial,"Tantanoola Primary School, Tantanoola, SA",4,90596,964,Government,Primary,,,5,36,,2012,-,-,-,-,-,-,-,-,-,-,509,506,503,511,493,,,,,,R-7
1081,1000,23,,43,3,4.6,20,-,Provincial,"Tantanoola Primary School, Tantanoola, SA",5,90596,966,Government,Primary,,,5,43,,2011,-,-,-,-,-,-,-,-,-,-,506,495,504,524,510,,,,,,R-7
1082,1000,24,,50,3.6,5.1,26,-,Provincial,"Tantanoola Primary School, Tantanoola, SA",6,90596,961,Government,Primary,,,6,50,,2010,-,-,-,-,-,462,437,428,465,469,543,525,536,528,559,,,,,,R-7
1083,1000,29,,62,2.9,5.2,33,-,Provincial,"Tantanoola Primary School, Tantanoola, SA",4,90596,937,Government,Primary,,,6,62,,2009,-,-,-,-,-,499,450,466,480,487,530,513,528,583,517,,,,,,R-7
1084,1000,31,,66,4.3,4.2,35,2%,Provincial,"Tantanoola Primary School, Tantanoola, SA",6,90596,937,Government,Primary,,,5,66,,2008,364,357,358,392,435,504,439,452,477,475,494,491,490,517,536,,,,,,-
1085,1000,255,,423,12,27,168,2%,Provincial,"Tanunda Primary School, Tanunda, SA",18,90597,1021,Government,Primary,,,35,423,,2014,392,384,393,392,352,484,469,481,485,442,561,549,553,546,515,,,,,,"U, R-7"
1086,1000,257,,439,11.4,28.2,182,2%,Provincial,"Tanunda Primary School, Tanunda, SA",18,90597,1027,Government,Primary,,,32,439,,2013,409,396,424,387,410,477,465,493,480,463,534,528,552,549,537,,,,,,"U, R-7"
1087,1000,247,,430,6.8,21.3,183,1%,Provincial,"Tanunda Primary School, Tanunda, SA",9,90597,1044,Government,Primary,,,24,430,,2012,415,386,419,415,409,488,479,490,499,452,558,526,546,549,509,,,,,,"U, R-7"
1088,1000,238,,426,12.1,24.5,188,1%,Provincial,"Tanunda Primary School, Tanunda, SA",17,90597,1040,Government,Primary,,,28,426,,2011,388,383,401,389,386,481,473,481,472,457,553,542,557,541,525,,,,,,"U, R-7"
1089,1000,231,,434,11.2,23.8,203,1%,Provincial,"Tanunda Primary School, Tanunda, SA",17,90597,1043,Government,Primary,,,27,434,,2010,393,392,405,390,426,496,474,483,500,482,543,551,545,550,536,,,,,,"U, R-7"
1090,1000,200,,385.7,11.7,21.5,186,1%,Provincial,"Tanunda Primary School, Tanunda, SA",16,90597,1040,Government,Primary,,,25,386,,2009,413,386,399,386,404,522,477,499,492,472,536,533,548,555,535,,,,,,"U, R-7"
1091,1000,188,,372.5,11.5,21.5,185,1%,Provincial,"Tanunda Primary School, Tanunda, SA",17,90597,1040,Government,Primary,,,24,373,,2008,404,380,405,408,399,498,470,477,508,482,542,550,560,551,554,,,,,,-
1092,1000,80,,143,6.3,9,63,7%,Provincial,"Tailem Bend Primary School, Tailem Bend, SA",9,90594,937,Government,Primary,,,12,143,,2014,294,362,357,383,362,485,456,474,464,428,504,497,506,516,483,,,,,,R-7
1093,1000,75,,138,6.5,8.6,63,6%,Provincial,"Tailem Bend Primary School, Tailem Bend, SA",10,90594,944,Government,Primary,,,10,138,,2013,375,353,408,371,353,452,423,465,438,435,509,505,520,516,486,,,,,,R-7
1094,1000,87,,153,6.4,12,66,3%,Provincial,"Tailem Bend Primary School, Tailem Bend, SA",10,90594,956,Government,Primary,,,13,153,,2012,346,364,332,358,375,423,412,436,438,409,522,506,528,513,480,,,,,,R-7
1095,1000,95,,171,5.4,12,76,7%,Provincial,"Tailem Bend Primary School, Tailem Bend, SA",10,90594,954,Government,Primary,,,13,171,,2011,341,345,367,365,380,439,457,447,454,438,513,513,514,515,528,,,,,,R-7
1096,1000,93,,177.8,6.3,12.2,85,5%,Provincial,"Tailem Bend Primary School, Tailem Bend, SA",11,90594,954,Government,Primary,,,13,178,,2010,369,363,378,372,383,451,435,460,459,427,489,492,501,480,525,,,,,,R-7
1097,1000,83,,159,5.9,11.6,76,3%,Provincial,"Tailem Bend Primary School, Tailem Bend, SA",11,90594,931,Government,Primary,,,13,159,,2009,402,366,364,398,396,445,441,445,420,434,486,490,515,513,495,,,,,,R-7
1098,1000,77,,150.6,8.4,10.2,74,3%,Provincial,"Tailem Bend Primary School, Tailem Bend, SA",13,90594,931,Government,Primary,,,12,151,,2008,366,361,397,372,392,453,406,427,424,447,494,496,521,505,507,,,,,,-
1099,1000,30,,52,2,4,22,4%,Provincial,"Auburn Primary School, Auburn, SA",4,90595,1026,Government,Primary,,,4,52,,2014,387,388,407,409,388,-,-,-,-,-,-,-,-,-,-,,,,,,R-7
1100,1000,31,,48,1.9,4,17,-,Provincial,"Auburn Primary School, Auburn, SA",4,90595,1021,Government,Primary,,,4,48,,2013,438,377,444,442,435,543,510,525,522,484,-,-,-,-,-,,,,,,R-7
1101,1000,32,,53,1.5,4,21,2%,Provincial,"Auburn Primary School, Auburn, SA",4,90595,1005,Government,Primary,,,4,53,,2012,497,443,487,405,414,-,-,-,-,-,-,-,-,-,-,,,,,,R-7
1102,1000,26,,47,1.6,3,21,2%,Provincial,"Auburn Primary School, Auburn, SA",3,90595,1019,Government,Primary,,,3,47,,2011,511,439,496,478,470,502,489,500,486,483,-,-,-,-,-,,,,,,R-7
1103,1000,24,,41,1.2,3,17,2%,Provincial,"Auburn Primary School, Auburn, SA",2,90595,1015,Government,Primary,,,3,41,,2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,R-7
1104,1000,19,,36,1.5,3,17,-,Provincial,"Auburn Primary School, Auburn, SA",2,90595,1099,Government,Primary,,,3,36,,2009,450,462,454,433,425,-,-,-,-,-,,,,,,,,,,,R-7
1105,1000,17,,35,1.9,3,18,-,Provincial,"Auburn Primary School, Auburn, SA",3,90595,1099,Government,Primary,,,3,35,,2008,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-
1106,1000,19,,32,2.1,3.8,13,3%,Provincial,"Coonalpyn Primary School, Coonalpyn, SA",4,90691,956,Government,Primary,,,5,32,,2014,-,-,-,-,-,396,460,465,451,385,-,-,-,-,-,,,,,,R-7
1107,1000,25,,37,2.4,3.6,12,3%,Provincial,"Coonalpyn Primary School, Coonalpyn, SA",4,90691,972,Government,Primary,,,4,37,,2013,-,363,363,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,R-7
1108,1000,32,,49,2.1,3.2,17,2%,Provincial,"Coonalpyn Primary School, Coonalpyn, SA",4,90691,1007,Government,Primary,,,4,49,,2012,386,363,412,380,390,492,478,498,484,467,586,559,569,555,570,,,,,,R-7
1109,1000,30,,45,2.3,4.2,15,-,Provincial,"Coonalpyn Primary School, Coonalpyn, SA",4,90691,1022,Government,Primary,,,5,45,,2011,348,333,336,306,350,475,511,498,506,500,-,-,-,-,-,,,,,,R-7
1110,1000,31,,50,2.3,5,19,-,Provincial,"Coonalpyn Primary School, Coonalpyn, SA",5,90691,1018,Government,Primary,,,5,50,,2010,419,419,423,392,440,490,481,504,492,504,520,543,528,534,548,,,,,,R-7
1111,1000,34,,55,1.8,4,21,-,Provincial,"Coonalpyn Primary School, Coonalpyn, SA",4,90691,912,Government,Primary,,,4,55,,2009,-,-,-,-,-,451,435,417,426,436,517,-,-,495,500,,,,,,R-7
1112,1000,31,,48,1.8,4,17,4%,Provincial,"Coonalpyn Primary School, Coonalpyn, SA",4,90691,912,Government,Primary,,,4,48,,2008,367,364,410,386,398,463,470,464,471,470,492,545,533,553,538,,,,,,-
1113,1000,78,11,147.5,9.1,12,70,5%,Provincial,"Coomandook Area School, Coomandook, SA",14,90690,945,Government,Combined,,9,13,148,113,2014,326,347,387,384,310,423,446,445,418,403,504,518,492,486,465,552,556,557,560,518,R-12
1114,1000,88,6,158.2,8.7,12.9,72,4%,Provincial,"Coomandook Area School, Coomandook, SA",12,90690,965,Government,Combined,,5,14,160,,2013,390,377,422,381,377,468,476,474,463,453,488,515,515,549,504,549,562,572,555,531,R-12
1115,1000,80,12,155.1,7.7,14.5,76,3%,Provincial,"Coomandook Area School, Coomandook, SA",11,90690,987,Government,Combined,,8,16,156,,2012,304,359,360,353,378,424,440,441,448,443,512,500,499,491,468,549,572,568,554,549,R-12
1116,1000,86,13,168.1,5.2,15.7,83,2%,Provincial,"Coomandook Area School, Coomandook, SA",8,90690,990,Government,Combined,,9,17,169,13,2011,398,374,370,345,355,465,445,454,466,470,508,507,518,493,503,538,580,567,552,566,R-12
1117,1000,81,11,156.1,6,15.4,77,3%,Provincial,"Coomandook Area School, Coomandook, SA",8,90690,995,Government,Combined,,8,18,158,,2010,419,389,394,367,417,448,435,460,432,490,511,515,524,525,494,558,562,544,529,537,R-12
1118,1000,78,7,161.4,5.8,14.8,85,3%,Provincial,"Coomandook Area School, Coomandook, SA",8,90690,1028,Government,Combined,,7,16,163,,2009,396,336,389,375,402,456,438,468,437,461,532,537,543,498,506,590,603,593,568,577,R-12
1119,1000,73,,161.8,6,14.4,89,2%,Provincial,"Coomandook Area School, Coomandook, SA",8,90690,1028,Government,Combined,,,16,162,,2008,364,328,354,339,375,504,438,488,482,479,507,522,512,480,515,558,600,593,564,563,-
1120,1000,192,,384,7.9,19.9,192,1%,Provincial,"Bordertown Primary School, Bordertown, SA",13,90693,993,Government,Primary,,,23,384,,2014,398,369,380,373,365,452,458,467,458,408,530,550,531,526,469,,,,,,R-7
1121,1000,178,,371,8.2,21.2,193,1%,Provincial,"Bordertown Primary School, Bordertown, SA",12,90693,994,Government,Primary,,,26,371,,2013,417,392,403,394,415,483,472,486,472,469,516,529,531,538,497,,,,,,R-7
1122,1000,209,,421,8.2,25.8,212,2%,Provincial,"Bordertown Primary School, Bordertown, SA",12,90693,1017,Government,Primary,,,29,421,,2012,346,342,377,371,381,476,484,479,480,460,531,528,523,526,508,,,,,,R-7
1123,1000,219,,451,8.2,24.7,232,1%,Provincial,"Bordertown Primary School, Bordertown, SA",13,90693,1020,Government,Primary,,,29,451,,2011,387,374,392,401,399,472,467,465,463,467,514,536,522,519,509,,,,,,R-7
1124,1000,247,,497,8.5,27,250,1%,Provincial,"Bordertown Primary School, Bordertown, SA",14,90693,1026,Government,Primary,,,31,497,,2010,388,371,386,381,405,476,479,473,473,477,528,552,536,540,526,,,,,,R-7
1125,1000,254,,510,7.9,25.9,256,1%,Provincial,"Bordertown Primary School, Bordertown, SA",12,90693,980,Government,Primary,,,28,510,,2009,381,356,374,389,390,492,486,494,473,487,540,547,536,550,536,,,,,,R-7
1126,1000,251,,507,6.9,26.2,256,1%,Provincial,"Bordertown Primary School, Bordertown, SA",10,90693,980,Government,Primary,,,29,507,,2008,392,415,412,410,432,482,470,472,475,500,521,561,529,555,533,,,,,,-
1127,1000,98,6,194,7,16.1,100,6%,Provincial,"Ardrossan Area School, Ardrossan, SA",12,90692,946,Government,Combined,,5,17,198,87,2014,360,368,353,378,324,449,485,468,456,441,523,507,508,528,494,539,535,556,579,510,R-12
1128,1000,95,14,187.4,6.5,17.3,95,8%,Provincial,"Ardrossan Area School, Ardrossan, SA",10,90692,956,Government,Combined,6,14,20,190,6,2013,409,369,404,396,392,451,457,478,454,445,514,525,538,534,468,549,570,578,564,564,R-12
1129,1000,95,8,186.1,5.2,17,94,6%,Provincial,"Ardrossan Area School, Ardrossan, SA",8,90692,970,Government,Combined,,8,19,189,,2012,376,378,385,368,393,456,466,437,474,464,521,498,508,516,488,582,573,554,595,608,R-12
1130,1000,91,8,178,6.6,16.9,90,8%,Provincial,"Ardrossan Area School, Ardrossan, SA",10,90692,966,Government,Combined,5,6,18,181,20,2011,392,379,381,390,395,463,448,456,448,427,532,542,533,525,504,587,591,607,607,552,R-12
1131,1000,91,12,170.6,6.1,17,83,5%,Provincial,"Ardrossan Area School, Ardrossan, SA",9,90692,970,Government,Combined,,10,18,174,,2010,397,392,394,408,433,488,465,476,483,479,523,536,547,544,530,541,573,555,538,518,R-12
1132,1000,98,11,183.6,8.3,16.7,89,7%,Provincial,"Ardrossan Area School, Ardrossan, SA",12,90692,973,Government,Combined,,10,17,187,,2009,400,383,388,368,399,493,470,471,495,497,543,525,570,555,517,604,611,618,626,583,R-9
1133,1000,102,,190.1,8.6,13.7,90,3%,Provincial,"Ardrossan Area School, Ardrossan, SA",11,90692,973,Government,Combined,,,14,192,,2008,429,394,412,440,464,514,479,487,540,532,501,522,503,525,508,594,618,582,584,575,-
1134,1000,77,8,152,10,16.2,75,6%,Remote,"Cowell Area School, Cowell, SA",15,90695,997,Government,Combined,,6,18,152,76,2014,353,370,390,401,366,481,500,532,469,464,512,545,522,547,512,551,587,557,565,535,R-12
1135,1000,78,5,156,11.4,14.8,78,2%,Remote,"Cowell Area School, Cowell, SA",16,90695,1003,Government,Combined,,4,16,156,40,2013,374,369,383,382,377,461,452,483,456,460,507,548,547,531,505,557,593,586,563,554,R-12
1136,1000,93,4,180.8,9.4,14.6,88,3%,Remote,"Cowell Area School, Cowell, SA",13,90695,997,Government,Combined,,1,16,181,28,2012,409,389,439,393,407,461,489,479,500,456,528,531,546,557,526,567,583,569,569,540,R-12
1137,1000,89,8,178,9.3,16.5,89,3%,Remote,"Cowell Area School, Cowell, SA",14,90695,994,Government,Combined,,5,19,178,3,2011,376,367,383,369,370,487,473,489,458,457,523,536,549,531,514,533,562,565,503,503,R-12
1138,1000,90,7,182.5,8.6,17,93,2%,Remote,"Cowell Area School, Cowell, SA",14,90695,976,Government,Combined,,4,18,183,,2010,385,367,372,389,394,501,485,492,508,450,501,556,521,509,524,571,574,571,559,581,R-12
1139,1000,83,9,171.4,6.8,16.6,91,3%,Remote,"Cowell Area School, Cowell, SA",11,90695,962,Government,Combined,,7,18,174,,2009,418,385,403,420,414,477,449,512,493,490,508,484,498,478,506,539,608,583,547,540,R-12
1140,1000,91,,179.9,7.2,13.9,91,2%,Remote,"Cowell Area School, Cowell, SA",11,90695,962,Government,Combined,,,15,182,,2008,433,413,435,466,420,455,447,449,443,445,512,535,526,536,543,584,576,598,566,583,-
1141,1000,292,21,557,25.4,54.5,266,29%,Very Remote,"Ceduna Area School, Ceduna, SA",37,90694,922,Government,Combined,4,12,58,558,242,2014,332,360,367,376,325,435,435,450,449,424,524,519,538,532,496,528,548,551,548,519,"U, R-12"
1142,1000,301,29,587.4,25.1,54.7,288,30%,Very Remote,"Ceduna Area School, Ceduna, SA",38,90694,907,Government,Combined,,19,58,589,,2013,389,353,356,367,353,431,443,454,427,393,470,493,490,504,481,525,545,546,546,489,"U, R-12"
1143,1000,305,15,607.4,24.2,52,304,29%,Very Remote,"Ceduna Area School, Ceduna, SA",34,90694,878,Government,Combined,1,10,55,609,23,2012,331,327,348,334,334,441,453,449,451,424,517,494,504,514,487,526,532,514,503,481,"U, R-12"
1144,1000,289,19,558.9,23.4,46.2,277,26%,Very Remote,"Ceduna Area School, Ceduna, SA",34,90694,884,Government,Combined,,12,48,566,3,2011,317,360,336,346,349,429,439,424,425,406,481,500,481,489,465,542,542,552,560,539,"U, R-12"
1145,1000,280,23,530,19.9,45,253,24%,Very Remote,"Ceduna Area School, Ceduna, SA",30,90694,885,Government,Combined,,14,50,533,,2010,308,349,348,343,355,423,443,447,439,442,480,481,475,481,459,496,533,530,538,481,"U, R-12"
1146,1000,283,16,521.7,18.7,40.5,242,26%,Very Remote,"Ceduna Area School, Ceduna, SA",27,90694,859,Government,Combined,,16,46,525,,2009,359,320,359,343,370,422,436,427,422,447,475,489,494,483,481,534,547,523,525,523,"U, R-12"
1147,1000,264,,481.9,23,43.1,221,24%,Very Remote,"Ceduna Area School, Ceduna, SA",35,90694,859,Government,Combined,,,49,485,,2008,330,337,357,326,376,427,410,410,427,456,398,476,442,458,431,501,540,537,524,503,-
1148,1000,177,27,339.1,10.6,28.2,166,2%,Provincial,"Kingston Community School, Kingston Se, SA",16,90697,980,Government,Combined,,21,33,343,374,2014,384,361,373,358,350,481,462,475,454,430,514,516,522,502,494,541,574,566,552,551,R-12
1149,1000,193,22,365.9,12.4,28.3,178,2%,Provincial,"Kingston Community School, Kingston Se, SA",19,90697,983,Government,Combined,,21,32,371,8,2013,378,382,379,356,362,466,461,494,467,459,539,526,531,537,522,558,579,595,562,521,R-12
1150,1000,200,29,364.6,13.1,25.5,166,2%,Provincial,"Kingston Community School, Kingston Se, SA",21,90697,987,Government,Combined,,23,29,366,,2012,409,380,428,376,396,446,454,458,447,424,519,516,523,528,518,569,578,600,562,595,R-12
1151,1000,200,29,378.2,11.4,25.3,179,1%,Provincial,"Kingston Community School, Kingston Se, SA",17,90697,989,Government,Combined,,28,30,379,41,2011,379,369,392,362,376,480,480,489,461,453,511,520,532,501,511,562,574,560,575,573,R-12
1152,1000,190,25,362.7,12.3,29.7,175,1%,Provincial,"Kingston Community School, Kingston Se, SA",19,90697,992,Government,Combined,,22,34,365,,2010,366,353,365,346,375,464,466,449,457,472,515,516,550,518,542,572,570,575,565,571,R-12
1153,1000,198,30,379.1,11,29.8,185,1%,Provincial,"Kingston Community School, Kingston Se, SA",17,90697,992,Government,Combined,,29,35,383,,2009,411,382,413,418,414,465,455,460,446,477,506,514,517,512,512,561,594,580,565,575,R-12
1154,1000,207,,409,11.2,31.2,205,1%,Provincial,"Kingston Community School, Kingston Se, SA",18,90697,992,Government,Combined,,,37,412,,2008,380,380,377,379,388,471,433,460,454,464,535,511,533,523,511,562,577,573,562,560,-
1155,1000,92,3,164.6,5.9,13.4,75,1%,Remote,"Kimba Area School, Kimba, SA",11,90696,1035,Government,Combined,6,3,15,167,99,2014,401,374,396,383,426,530,536,517,504,483,576,582,595,566,506,575,611,601,611,578,R-12
1156,1000,89,6,169.4,6.3,13.4,84,1%,Remote,"Kimba Area School, Kimba, SA",9,90696,1026,Government,Combined,,4,15,173,,2013,475,414,470,427,424,508,488,499,475,495,491,535,517,497,481,549,581,564,540,506,R-12
1157,1000,93,8,177.2,5.4,12.8,89,0%,Remote,"Kimba Area School, Kimba, SA",9,90696,1022,Government,Combined,,7,16,182,,2012,457,421,445,449,431,500,500,536,490,492,571,599,567,560,500,552,576,556,571,565,R-12
1158,1000,89,6,168.7,5.6,13.7,86,-,Remote,"Kimba Area School, Kimba, SA",9,90696,1022,Government,Combined,7,5,16,175,10,2011,408,393,396,405,403,429,467,449,455,443,535,550,527,514,516,568,593,588,572,572,R-12
1159,1000,95,5,171.4,5.3,15,79,-,Remote,"Kimba Area School, Kimba, SA",9,90696,1047,Government,Combined,,6,18,174,,2010,418,400,472,409,402,476,506,468,510,476,517,528,545,520,511,588,603,588,601,596,R-12
1160,1000,94,3,169.4,6.1,16.1,78,-,Remote,"Kimba Area School, Kimba, SA",11,90696,1005,Government,Combined,,3,19,172,,2009,440,337,379,408,419,480,468,477,455,453,533,525,525,525,526,582,618,573,586,568,R-12
1161,1000,94,,170.1,6.6,13.8,78,-,Remote,"Kimba Area School, Kimba, SA",9,90696,1005,Government,Combined,,,16,172,,2008,386,401,418,417,423,481,461,479,472,485,523,560,529,542,550,552,574,572,548,566,-
1162,1000,80,8,150.5,6.8,14.6,72,5%,Provincial,"Port Broughton Area School, Port Broughton, SA",10,90699,973,Government,Combined,1,8,16,152,125,2014,395,392,391,439,387,477,470,502,483,450,531,536,530,542,511,559,-,556,515,512,R-12
1163,1000,105,10,155.5,7.8,13.4,73,5%,Provincial,"Port Broughton Area School, Port Broughton, SA",12,90699,985,Government,Combined,,6,15,178,,2013,433,398,441,424,427,498,472,484,492,475,525,528,545,554,497,563,566,576,587,552,R-12
1164,1000,90,6,161.2,6.6,13.9,86,6%,Provincial,"Port Broughton Area School, Port Broughton, SA",11,90699,974,Government,Combined,,5,16,176,,2012,400,392,444,407,386,501,488,515,508,451,517,493,493,528,467,557,563,566,571,549,R-12
1165,1000,68,12,148.8,6.8,13.8,83,1%,Provincial,"Port Broughton Area School, Port Broughton, SA",11,90699,986,Government,Combined,1,11,16,151,19,2011,361,378,419,372,404,458,469,483,481,435,515,515,530,539,526,537,562,571,531,551,R-12
1166,1000,84,13,180.6,6,14.4,98,1%,Provincial,"Port Broughton Area School, Port Broughton, SA",10,90699,988,Government,Combined,,13,17,182,,2010,388,386,420,404,418,463,449,478,488,481,540,524,534,538,546,516,555,-,526,542,R-12
1167,1000,86,11,190.5,6.8,15.8,107,1%,Provincial,"Port Broughton Area School, Port Broughton, SA",11,90699,1002,Government,Combined,,9,17,193,,2009,365,368,373,374,405,478,464,459,480,447,494,505,518,502,527,579,596,606,583,570,R-12
1168,1000,96,,202.6,8.8,13.9,109,1%,Provincial,"Port Broughton Area School, Port Broughton, SA",12,90699,1002,Government,Combined,,,16,205,,2008,399,396,408,412,430,481,456,437,466,469,526,537,537,543,517,545,596,582,570,575,-
1169,1000,70,9,125.2,7,11.4,66,4%,Provincial,"Orroroo Area School, Orroroo, SA",12,90698,983,Government,Combined,6,9,13,136,84,2014,322,335,360,401,379,456,461,457,481,435,517,537,522,539,501,583,568,583,608,565,R-12
1170,1000,66,5,126.7,7,11.4,64,5%,Provincial,"Orroroo Area School, Orroroo, SA",13,90698,981,Government,Combined,7,5,13,130,11,2013,418,387,371,407,375,472,496,456,482,413,539,560,576,536,541,609,630,588,601,551,R-12
1171,1000,68,12,132.4,6,12.3,66,6%,Provincial,"Orroroo Area School, Orroroo, SA",10,90698,1002,Government,Combined,4,12,14,134,2,2012,361,359,369,394,397,442,501,483,470,450,540,502,518,564,501,574,602,554,598,557,R-12
1172,1000,69,7,132.4,5.2,12.5,65,6%,Provincial,"Orroroo Area School, Orroroo, SA",9,90698,1009,Government,Combined,3,7,14,134,2,2011,374,389,340,378,364,517,490,510,463,492,528,549,516,544,540,598,598,593,588,583,R-12
1173,1000,77,8,145,4.1,13.3,76,7%,Provincial,"Orroroo Area School, Orroroo, SA",7,90698,1011,Government,Combined,,9,15,153,,2010,370,401,394,376,395,478,451,458,505,470,510,540,528,550,540,582,575,554,619,579,R-12
1174,1000,71,5,139.1,4.6,14.5,73,6%,Provincial,"Orroroo Area School, Orroroo, SA",8,90698,1019,Government,Combined,,5,16,144,,2009,-,-,-,-,-,511,519,488,491,467,552,541,550,560,557,590,614,594,590,571,R-12
1175,1000,76,,148.9,4.9,13,76,5%,Provincial,"Orroroo Area School, Orroroo, SA",9,90698,1019,Government,Combined,,,15,152,,2008,404,386,396,415,411,510,474,486,520,491,535,522,525,571,530,557,584,565,588,572,-
1176,1000,75,,143,3.8,6.9,68,1%,Provincial,"Lyndoch Primary School, Lyndoch, SA",4,90500,1009,Government,Primary,,,8,143,,2014,405,400,411,385,369,499,494,513,498,426,535,537,541,543,492,,,,,,R-7
1177,1000,73,,137,3.4,7,64,1%,Provincial,"Lyndoch Primary School, Lyndoch, SA",4,90500,1001,Government,Primary,,,8,137,,2013,408,371,402,398,395,479,472,493,489,473,529,539,538,527,533,,,,,,R-7
1178,1000,76,,147,3.1,8.8,71,2%,Provincial,"Lyndoch Primary School, Lyndoch, SA",4,90500,988,Government,Primary,,,9,147,,2012,418,378,402,406,394,431,462,467,479,439,521,515,523,513,501,,,,,,R-7
1179,1000,86,,160,3.1,8.4,74,1%,Provincial,"Lyndoch Primary School, Lyndoch, SA",4,90500,983,Government,Primary,,,9,160,,2011,381,369,374,377,398,462,453,453,446,465,513,541,517,518,499,,,,,,R-7
1180,1000,80,,156,3.5,8.1,76,1%,Provincial,"Lyndoch Primary School, Lyndoch, SA",5,90500,982,Government,Primary,,,9,156,,2010,384,353,397,387,420,461,459,460,451,473,487,519,539,509,532,,,,,,R-7
1181,1000,73,,137,2.8,8.4,64,1%,Provincial,"Lyndoch Primary School, Lyndoch, SA",4,90500,1030,Government,Primary,,,11,137,,2009,372,368,377,357,405,448,445,460,444,471,549,564,550,546,540,,,,,,R-7
1182,1000,77,,150,2.4,8.2,73,1%,Provincial,"Lyndoch Primary School, Lyndoch, SA",3,90500,1030,Government,Primary,,,10,150,,2008,383,380,386,365,396,457,444,460,448,494,529,535,530,518,527,,,,,,-
1183,1000,75,,138,4.1,9.2,63,4%,Provincial,"Mallala Primary School, Mallala, SA",6,90503,958,Government,Primary,,,11,138,,2014,388,381,415,412,373,474,468,487,467,466,488,498,513,514,493,,,,,,R-7
1184,1000,71,,153,4.6,8.9,82,7%,Provincial,"Mallala Primary School, Mallala, SA",8,90503,935,Government,Primary,,,11,153,,2013,384,337,352,388,375,450,459,468,464,460,516,486,518,524,489,,,,,,R-7
1185,1000,55,,129,3.6,10.2,74,7%,Provincial,"Mallala Primary School, Mallala, SA",6,90503,934,Government,Primary,,,13,129,,2012,400,378,418,412,422,437,439,453,437,459,506,509,526,510,499,,,,,,R-7
1186,1000,63,,141,3,10.2,78,12%,Provincial,"Mallala Primary School, Mallala, SA",6,90503,939,Government,Primary,,,14,141,,2011,402,396,385,388,398,440,427,437,439,423,474,500,501,494,483,,,,,,R-7
1187,1000,70,,148,3,10.1,78,7%,Provincial,"Mallala Primary School, Mallala, SA",6,90503,941,Government,Primary,,,12,148,,2010,357,354,372,364,385,458,461,442,461,467,508,515,516,555,523,,,,,,R-7
1188,1000,77,,159,4.3,8.5,82,8%,Provincial,"Mallala Primary School, Mallala, SA",7,90503,955,Government,Primary,,,10,159,,2009,361,354,361,385,401,439,457,460,449,460,545,515,536,567,532,,,,,,R-7
1189,1000,87,,180,4.6,10.9,93,7%,Provincial,"Mallala Primary School, Mallala, SA",8,90503,955,Government,Primary,,,13,180,,2008,449,402,397,414,412,455,442,456,449,434,507,527,526,581,513,,,,,,-
1190,1000,32,,70,2,4.7,38,1%,Provincial,"Macclesfield Primary School, Macclesfield, SA",3,90502,1046,Government,Primary,,,6,70,,2014,466,400,469,439,422,513,506,527,484,451,559,523,571,554,518,,,,,,R-7
1191,1000,43,,91,3.3,5.5,48,1%,Provincial,"Macclesfield Primary School, Macclesfield, SA",6,90502,1023,Government,Primary,,,6,91,,2013,406,406,421,415,424,-,-,-,-,-,524,547,550,539,527,,,,,,R-7
1192,1000,46,,98,2.3,6.1,52,3%,Provincial,"Macclesfield Primary School, Macclesfield, SA",5,90502,1007,Government,Primary,,,7,98,,2012,413,391,434,435,471,525,505,547,511,496,568,532,575,544,539,,,,,,R-7
